=== SHEET: Flag Definitions ===
#,Flag Code,Title,Priority,Category,Entity Scope,Status,Auto Resolve,Manual,Description,Trigger Logic,Data Fields Checked,Dec Page Section,Suppression Rules,Notes,Column1,
1,MISSING_POLICY_NUMBER,Missing Policy Number,Low,Data Quality,Policy,Active,Yes,No,Policy number was not extracted from the declaration page.,"Fires when ""policy_number"" appears in the missing_fields list returned by the document parser. The parser outputs a list of fields it could NOT find in the uploaded dec page.","missing_fields[] → ""policy_number""",Header / Top of Dec Page,None,Auto-resolves if a re-parse extracts the policy number successfully.,,
2,MISSING_PROPERTY_LOCATION,Missing Property Location,Low,Data Quality,Policy,Active,Yes,No,Property location was not extracted.,"Fires when the extracted_data field ""property_location"" is null, empty string, ""0"", ""$0"", ""$0.00"", or ""None"". Checks extracted_data first, then falls back to policy_term and client records.","extracted_data.property_location, policy_terms.property_location, clients.property_location",Property / Location Section,None,,,
3,MISSING_DWELLING_LIMIT,Missing Dwelling Limit,High,Data Quality,Policy,Active,Yes,No,Dwelling coverage limit is missing or empty.,"Fires when the extracted field ""limit_dwelling"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"".",extracted_data.limit_dwelling,Coverages — Coverage A (Dwelling),None,,,Does not apply to condo. Unit number logic (some)
4,MISSING_ORDINANCE_OR_LAW,Missing Ordinance or Law,High,Coverage Gap,Policy,Active,Yes,No,Ordinance or law coverage is missing.,"Fires when ""limit_ordinance_or_law"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"".",extracted_data.limit_ordinance_or_law,Coverages — Ordinance or Law,None,,,
5,MISSING_EXTENDED_DWELLING,Missing Extended Dwelling Coverage,Medium,Coverage Gap,Policy,Active,Yes,No,Extended dwelling coverage is missing.,"Fires when ""limit_extended_dwelling_coverage"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"".",extracted_data.limit_extended_dwelling_coverage,Coverages — Extended Dwelling,None,,,
6,MISSING_DWELLING_REPLACEMENT_COST,Missing Dwelling Replacement Cost,High,Coverage Gap,Policy,Active,Yes,No,Dwelling replacement cost is missing.,"Fires when ""limit_dwelling_replacement_cost"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"". SUPPRESSED for mobile/manufactured homes or addresses containing SPC/SPACE/UNIT keywords.","extracted_data.limit_dwelling_replacement_cost, extracted_data.construction_type, extracted_data.property_location",Coverages — Dwelling Replacement Cost,"Suppressed if construction_type contains ""mobile"" or ""manufactured"", OR if property_location contains ""SPC"", ""SPACE"", or ""UNIT"".","Mobile homes and SPC/Unit addresses (condos, manufactured) typically use ACV, not RC.",,
7,MISSING_PERSONAL_PROPERTY_REPLACEMENT_COST,Missing Personal Property RC,Medium,Coverage Gap,Policy,Active,Yes,No,Personal property replacement cost is missing.,"Fires when ""limit_personal_property_replacement_cost"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"". SUPPRESSED for mobile/manufactured homes or SPC/Unit addresses.","extracted_data.limit_personal_property_replacement_cost, extracted_data.construction_type, extracted_data.property_location",Coverages — Personal Property RC,Same as MISSING_DWELLING_REPLACEMENT_COST (mobile/manufactured + SPC/Unit suppression).,,,Remove suppression
8,MISSING_FENCES_COVERAGE,Missing Fences Coverage,Medium,Coverage Gap,Policy,Active,Yes,No,Fences coverage is missing.,"Fires when ""limit_fences"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"".",extracted_data.limit_fences,Coverages — Fences,None,Parser does not yet reliably extract this field from all dec page formats. May fire frequently.,,Only when present in AI anls
9,MISSING_PERSONAL_PROPERTY_COVERAGE_C,Missing Personal Property (Cov C),Medium,Coverage Gap,Policy,Active,Yes,No,Personal property Coverage C is missing.,"Fires when ""limit_personal_property"" is null, empty, ""0"", ""$0"", ""$0.00"", or ""None"".",extracted_data.limit_personal_property,Coverages — Coverage C (Personal Property),None,,,"Split into 2 flags. Owner occupied yes flag Medium (less than 30% of dwelling), If Tenant occupied yes flag Low (if less than 10%). (not zeros)"
10,MORTGAGEE_PRESENT_DWELLING_ZERO,"Mortgagee Present, Dwelling $0",Medium,Coverage Gap,Policy,Active,No,No,Mortgagee on policy but dwelling coverage is $0.,"Two-step check: (1) Checks if ""mortgagee_1_name"" is present (non-null/non-empty). If no mortgagee, flag does NOT fire. (2) If mortgagee IS present, checks ""limit_dwelling"" — fires if missing or $0.","extracted_data.mortgagee_1_name, extracted_data.limit_dwelling",Mortgagee Section + Coverages — Coverage A (Dwelling),None,Does NOT auto-resolve — requires agent review because a mortgagee with $0 dwelling is a serious data or coverage issue.,Maybe delete,"Don’t flag if this is a condo (use condo logic with ""unit"")"
